Date,RELIANCE,TCS,HDFCBANK,INFY
2019-01-02,-0.00912437145044076,0.006014867279435121,-0.013024058222637303,0.010773695606972167
2019-01-03,-0.007845882116312874,0.00014963431675063532,-0.012337271562390395,-0.012140837192147202
2019-01-04,0.002675363521349672,-0.012105304000480488,0.005399142455152273,-0.012158149360709136
2019-01-07,0.0015112228598590516,0.016110775798942933,0.005552359757581948,0.011215515728887793
2019-01-08,-0.008322809877594928,-0.002456441752892946,-9.063375044326971e-05,-0.002291818375482313
2019-01-09,0.006561986200540826,0.009029461008210227,0.0055221396573386095,-0.0034856302068723144
2019-01-10,-0.003920893728000641,0.00532448056943724,-0.002925885978552145,0.0008479639994587451
2019-01-11,0.0016124396336785196,0.005590860136561959,-0.00853274731474074,-0.024357202275272938
2019-01-14,-0.004853347833969512,0.026920377798237194,-0.0011383659642201227,-0.015902052370436737
2019-01-15,0.00963517725879015,0.035189879184605255,0.029950732431092586,0.030084304061371192
2019-01-16,-0.0008012204079492768,0.014038080491293403,0.005532793097303923,0.0012579876912917065
2019-01-17,0.0057070127539782245,-0.004682567680776684,-0.0012766094220419966,0.01508457884847858
2019-01-18,-0.0009613952830372918,-0.003272745929244758,0.04398613813014762,0.0033524444578829637
2019-01-21,0.0084028091728241,0.019221732936031133,0.04504578841602913,0.004235093103527987
2019-01-22,-0.005725809832906714,0.0004697873660868268,-0.002060435295234475,-0.003562317140936133
2019-01-23,-0.014256698089332276,-0.01838050829520399,-0.007164961353191668,-0.013828738542677854
2019-01-24,-0.0014959823484700374,0.005978187539683599,0.01724693895710483,0.013835826028329556
2019-01-25,-0.0029730163327648107,-0.002254219387103795,-0.0011624520399134974,0.010123144561388742
2019-01-28,-0.005653787241895025,-0.0032860001631914715,-0.013202273368684847,0.01780531913498118
2019-01-29,-0.012738865021934886,-6.883850996586283e-05,-0.015371508256408761,0.014194301103428675
2019-01-30,-0.01112957066647935,-0.0027475170334432253,-0.012348601519744151,-0.0006810671963883852
2019-01-31,0.02223908682296316,0.0325802213756059,0.026302667091545162,0.016503513420615068
2019-02-01,0.005048310780137566,0.010005833979255474,0.018579525779339523,0.007869578372842634
2019-02-04,0.0069123040130534275,-0.0015189580708798722,0.032761373665126436,0.01000019051968315
2019-02-05,0.004347060444163997,-0.0013891649763679847,0.0005034496668885335,-0.0027798405576917595
2019-02-06,0.004067946866904926,0.011194391855799068,0.01447866415667165,0.014795326221426874
2019-02-07,-0.002543822557202202,0.0009169085875107008,-0.015149766061238856,0.0039038358629428505
2019-02-08,0.0025503100935460044,-0.004057625538637866,-0.009841761929281878,-0.010322132426257347
2019-02-11,0.008008944831024545,0.0024971226865737606,-0.019136120761332642,0.002182919826713592
2019-02-12,-0.004650330193610275,-0.01619014970373378,0.002513579583307113,-0.006921880549872528
2019-02-14,-0.00915627443533984,-0.013858401313175395,-0.025628829439812373,-0.0034119447556713034
2019-02-15,-0.004525655781257298,0.0025672783242345343,0.016541479158225014,-0.00728753786673797
2019-02-18,-0.005117479037255901,-0.0012132549454566544,-0.01956689817342383,-0.029265335602432607
2019-02-19,-0.002798982694665164,-0.02260285231414627,-0.0032783296470593193,-0.03324368046940096
2019-02-20,0.011659968868334092,0.022642567043144712,0.015006871786803488,0.00522367248609501
2019-02-21,0.0035809198186498303,-0.009787906534468704,0.01016723480569115,-0.0002872890691906216
2019-02-22,-0.01155540120289833,0.002045094513022594,-0.011668946547535364,0.00598169209312438
2019-02-25,0.016232668854288645,0.027144720864602512,-4.042977181573093e-05,0.03089852957790007
2019-02-26,-0.006939712126111552,-0.016426150779889515,-0.009778608533655309,0.026975308578201407
2019-02-27,-0.00871778782785626,-0.009764178482498553,0.0026635546869506754,0.009516069518591852
2019-02-28,-0.007025750067864545,-0.0012921680824463655,0.006170816760722175,-0.036271488724176404
2019-03-01,0.0027917233965515376,0.010350123518255261,-0.004061740235489553,0.0060247050500985555
2019-03-05,0.011399814869042846,-0.012670375662402034,0.009461377117069292,-0.0036581778312867463
2019-03-06,-0.0013524157639152046,0.0,0.021936982950372164,0.0057842508831782435
2019-03-07,0.010573641009221202,-0.013037410422260698,0.004308756330469787,0.006851599233973493
2019-03-08,0.0007994261245001244,-0.014662209814424454,-0.002479831514087927,0.004668933293614286
2019-03-11,0.00011749749630785011,-0.0015441314404002204,0.029200545814313195,-0.0039056739932972206
2019-03-12,0.01999127909515086,-0.006045886094123598,0.0208956012462318,-0.0011666188361424412
2019-03-13,0.025587020888782508,0.002122064904211962,0.011980432208154035,-0.00593781519847747
2019-03-14,-0.0008082167968300746,-0.00014126065040442892,-0.004267919040548462,-0.006548350203568809
2019-03-15,0.012697970568001704,0.014399706729467221,-0.014833441458887764,0.026441461957840584
2019-03-18,0.003750434956772075,-0.011620536700406747,0.021488196202633425,-0.008406978536165455
2019-03-19,0.0027859658035858104,0.01696692067218164,0.019628896123041084,0.0
2019-03-20,0.01378017400418341,0.023122013085992155,-0.0007991719322442137,-0.0038313937614562477
2019-03-22,-0.009939176855207621,0.005616305557345935,-0.0245010635541989,-0.0046647337145439005
2019-03-25,0.0022626392837028497,-0.01056384549890077,-0.012893648954927284,-0.010670104847270823
2019-03-26,0.013172255916747755,-0.01020073694751511,0.032315409690301555,-0.0008062088119213939
2019-03-27,-0.0051485570297635785,0.002679526737886073,-0.01316505132725665,-0.007439582714827142
2019-03-28,0.0014570056719109825,0.011100405253207546,0.007967258555037215,0.016464269945867693
2019-04-01,0.0039082915063515244,0.023448143316266767,0.023419264489907388,0.01567277749948026
2019-04-02,-0.007332012703769819,0.005694694367090136,-0.0015448785442049306,0.023453966678162352
2019-04-03,-0.0009151014851964678,-0.00803271986940024,-0.010433842699465679,0.0
2019-04-04,-0.003838239545601363,-0.0071683959635591155,-0.01610662227232551,-0.03116464310642275
2019-04-05,0.009479326178115643,0.015242577474909647,0.0006281245187877982,0.016778399768284435
2019-04-08,-0.007026584107168943,0.010470262655730256,-0.01820681237334132,0.010960373111415622
2019-04-09,-0.0009390795022594656,-0.00866745054314888,0.0039120179056959525,0.010020554148444605
2019-04-10,-0.021816305633750033,-0.01038648403921405,-0.0022855463084122674,-0.024503974577274046
2019-04-11,0.00900605321841108,-0.01328544326496972,0.011566897566138268,-0.010170424710818637
2019-04-12,0.0034329935842225545,0.006799681872903474,-0.002747243227995022,-0.0024758619599051235
2019-04-15,0.010396280747774878,-0.02708126917007536,-0.002196429894460339,0.049044637076550046
2019-04-16,0.007099737599876477,-0.004673787387040496,0.002686212890462558,0.00875403669064645
2019-04-18,-0.004945775544471731,-0.009736181632189478,0.03140469614388319,0.008560697071196444
2019-04-22,-0.010877715008943856,0.0055785888794634975,-0.02929394133289076,0.005302159305705878
2019-04-23,-0.010314246405332406,0.0099160539966332,0.01375112249584709,-0.0029609311883579403
2019-04-24,0.015343186184244129,0.011329313155381548,0.01880682776530085,0.013178419409477282
2019-04-25,-0.007150041178098365,-0.010727377354921241,-0.012306440077917924,0.005289822819148027
2019-04-26,0.007731636143977871,0.012970832696742596,0.014864241012207735,0.019840489882838375
