,VaR(95%),Historical Volatility,Rolling Volatitlity
2019-01-02 00:00:00,1715.478911254856,,
2019-01-03 00:00:00,1715.478911254856,,
2019-01-04 00:00:00,1715.478911254856,,
2019-01-07 00:00:00,1715.478911254856,,
2019-01-08 00:00:00,1715.478911254856,,
2019-01-09 00:00:00,1715.478911254856,,
2019-01-10 00:00:00,1715.478911254856,,
2019-01-11 00:00:00,1715.478911254856,,
2019-01-14 00:00:00,1715.478911254856,,
2019-01-15 00:00:00,1715.478911254856,,
2019-01-16 00:00:00,1715.478911254856,,
2019-01-17 00:00:00,1715.478911254856,,
2019-01-18 00:00:00,1715.478911254856,,
2019-01-21 00:00:00,1715.478911254856,,
2019-01-22 00:00:00,1715.478911254856,,
2019-01-23 00:00:00,1715.478911254856,,
2019-01-24 00:00:00,1715.478911254856,,
2019-01-25 00:00:00,1715.478911254856,,
2019-01-28 00:00:00,1715.478911254856,,
2019-01-29 00:00:00,1715.478911254856,,
2019-01-30 00:00:00,1715.478911254856,,0.1422931001298301
2019-01-31 00:00:00,1715.478911254856,,0.16003412078062532
2019-02-01 00:00:00,1715.478911254856,,0.15623741820260575
2019-02-04 00:00:00,1715.478911254856,,0.15385686433969523
2019-02-05 00:00:00,1715.478911254856,,0.15368284171630836
2019-02-06 00:00:00,1715.478911254856,,0.1533974826134745
2019-02-07 00:00:00,1715.478911254856,,0.15484844126906191
2019-02-08 00:00:00,1715.478911254856,,0.15844588445562016
2019-02-11 00:00:00,1715.478911254856,,0.1520080814552724
2019-02-12 00:00:00,1715.478911254856,,0.15617785121442754
2019-02-14 00:00:00,1715.478911254856,,0.14270729740719576
2019-02-15 00:00:00,1715.478911254856,,0.14282075771997818
2019-02-18 00:00:00,1715.478911254856,,0.1554706785260059
2019-02-19 00:00:00,1715.478911254856,,0.16876027101522534
2019-02-20 00:00:00,1715.478911254856,,0.1653684290805317
2019-02-21 00:00:00,1715.478911254856,,0.16508480048029472
2019-02-22 00:00:00,1715.478911254856,,0.15737753443828975
2019-02-25 00:00:00,1715.478911254856,,0.17057650309814604
2019-02-26 00:00:00,1715.478911254856,,0.1706230136317456
2019-02-27 00:00:00,1715.478911254856,,0.17063399587651984
2019-02-28 00:00:00,1715.478911254856,,0.17897405352432158
2019-03-01 00:00:00,1715.478911254856,,0.17823133004914674
2019-03-05 00:00:00,1715.478911254856,,0.15901067057417367
2019-03-06 00:00:00,1715.478911254856,,0.15650347882497728
2019-03-07 00:00:00,1715.478911254856,,0.1518622759162436
2019-03-08 00:00:00,1715.478911254856,,0.15190052542697213
2019-03-11 00:00:00,1715.478911254856,,0.14596554057236016
2019-03-12 00:00:00,1715.478911254856,,0.14816581646382074
2019-03-13 00:00:00,1715.478911254856,,0.14877456087065427
2019-03-14 00:00:00,1715.478911254856,,0.1491342044401116
2019-03-15 00:00:00,1715.478911254856,,0.15450077825100275
2019-03-18 00:00:00,1715.478911254856,,0.14897293074342124
2019-03-19 00:00:00,1715.478911254856,,0.15088544909243692
2019-03-20 00:00:00,1715.478911254856,,0.13828124848393356
2019-03-22 00:00:00,1715.478911254856,,0.11945612829571656
2019-03-25 00:00:00,1715.478911254856,,0.12034366553516906
2019-03-26 00:00:00,1715.478911254856,,0.12080701733943425
2019-03-27 00:00:00,1715.478911254856,,0.12305464419144807
2019-03-28 00:00:00,1715.478911254856,,0.10650533143243458
2019-04-01 00:00:00,1715.478911254856,,0.11792160998529831
2019-04-02 00:00:00,1715.478911254856,,0.11933249633569408
2019-04-03 00:00:00,1715.478911254856,,0.10493556420182167
2019-04-04 00:00:00,1715.478911254856,,0.125918152706832
2019-04-05 00:00:00,1715.478911254856,,0.130139564582484
2019-04-08 00:00:00,1715.478911254856,,0.12969573131414786
2019-04-09 00:00:00,1715.478911254856,,0.12969913063285882
2019-04-10 00:00:00,1715.478911254856,,0.14542305321354862
2019-04-11 00:00:00,1715.478911254856,,0.14620760678360922
2019-04-12 00:00:00,1715.478911254856,,0.14523669460327893
2019-04-15 00:00:00,1715.478911254856,,0.15043544762791275
2019-04-16 00:00:00,1715.478911254856,,0.14959816320242655
2019-04-18 00:00:00,1715.478911254856,,0.1443768490618947
2019-04-22 00:00:00,1715.478911254856,,0.1454341559613711
2019-04-23 00:00:00,1715.478911254856,,0.1434472198269893
2019-04-24 00:00:00,1715.478911254856,,0.14924486235401732
2019-04-25 00:00:00,1715.478911254856,,0.14767736766048084
2019-04-26 00:00:00,1715.478911254856,,0.1498363596345128
2019-04-30 00:00:00,1715.478911254856,,0.1525346011599657
2019-05-02 00:00:00,1715.478911254856,,0.15529688810154021
2019-05-03 00:00:00,1715.478911254856,,0.16420816406171426
2019-05-06 00:00:00,1715.478911254856,,0.15615318453993648
2019-05-07 00:00:00,1715.478911254856,,0.15468428099017179
2019-05-08 00:00:00,1715.478911254856,,0.1570841360228702
2019-05-09 00:00:00,1715.478911254856,,0.1452683700087058
2019-05-10 00:00:00,1715.478911254856,,0.14157068570368883
2019-05-13 00:00:00,1715.478911254856,,0.14172047133791812
2019-05-14 00:00:00,1715.478911254856,,0.14176429457382625
2019-05-15 00:00:00,1715.478911254856,,0.12974277566267317
2019-05-16 00:00:00,1715.478911254856,,0.1354004148990025
2019-05-17 00:00:00,1715.478911254856,,0.13539838497844803
2019-05-20 00:00:00,1715.478911254856,,0.14915040439360705
2019-05-21 00:00:00,1715.478911254856,,0.15398552088836903
2019-05-22 00:00:00,1715.478911254856,,0.15355747767325353
2019-05-23 00:00:00,1715.478911254856,,0.1617832717022161
2019-05-24 00:00:00,1715.478911254856,,0.16333966543535167
2019-05-27 00:00:00,1715.478911254856,,0.15430180083312636
2019-05-28 00:00:00,1715.478911254856,,0.16104954618876027
2019-05-29 00:00:00,1715.478911254856,,0.15261998180294495
2019-05-30 00:00:00,1715.478911254856,,0.1543310345439604
2019-05-31 00:00:00,1715.478911254856,,0.1550968947824773
2019-06-03 00:00:00,1715.478911254856,,0.15563427972427155
2019-06-04 00:00:00,1715.478911254856,,0.1609735643608126
2019-06-06 00:00:00,1715.478911254856,,0.16314924403563796
2019-06-07 00:00:00,1715.478911254856,,0.15979065426581646
2019-06-10 00:00:00,1715.478911254856,,0.1635103680026603
2019-06-11 00:00:00,1715.478911254856,,0.15973864608749527
2019-06-12 00:00:00,1715.478911254856,,0.15839100906073397
2019-06-13 00:00:00,1715.478911254856,,0.15667306296690495
2019-06-14 00:00:00,1715.478911254856,,0.15781557457161574
2019-06-17 00:00:00,1715.478911254856,,0.15823063247300667
2019-06-18 00:00:00,1715.478911254856,,0.15799195748366288
2019-06-19 00:00:00,1715.478911254856,,0.14038309969080218
2019-06-20 00:00:00,1715.478911254856,,0.13435758909370654
2019-06-21 00:00:00,1715.478911254856,,0.13855377142759664
2019-06-24 00:00:00,1715.478911254856,,0.12323355311503231
2019-06-25 00:00:00,1715.478911254856,,0.12302690554971325
2019-06-26 00:00:00,1715.478911254856,,0.12385627050444337
2019-06-27 00:00:00,1715.478911254856,,0.12221351896483833
2019-06-28 00:00:00,1715.478911254856,,0.12651828046097602
2019-07-01 00:00:00,1715.478911254856,,0.12164063216591124
2019-07-02 00:00:00,1715.478911254856,,0.12035782453244334
2019-07-03 00:00:00,1715.478911254856,,0.10725675361164104
2019-07-04 00:00:00,1715.478911254856,,0.09920306534285409
2019-07-05 00:00:00,1715.478911254856,,0.12358416216797483
2019-07-08 00:00:00,1715.478911254856,,0.12350137882655296
2019-07-09 00:00:00,1715.478911254856,,0.11476652523990578
2019-07-10 00:00:00,1715.478911254856,,0.11136689694179944
2019-07-11 00:00:00,1715.478911254856,,0.11235828530362324
2019-07-12 00:00:00,1715.478911254856,,0.11279527397063918
2019-07-15 00:00:00,1715.478911254856,,0.14106669133551417
2019-07-16 00:00:00,1715.478911254856,,0.1395286702480548
2019-07-17 00:00:00,1715.478911254856,,0.13990446812508492
2019-07-18 00:00:00,1715.478911254856,,0.14409694660152145
2019-07-19 00:00:00,1715.478911254856,,0.1411333156112301
2019-07-22 00:00:00,1715.478911254856,,0.13888115487355956
2019-07-23 00:00:00,1715.478911254856,,0.13874599993787545
2019-07-24 00:00:00,1715.478911254856,,0.13714848530617207
2019-07-25 00:00:00,1715.478911254856,,0.1388482165427668
2019-07-26 00:00:00,1715.478911254856,,0.14032006690308926
2019-07-29 00:00:00,1715.478911254856,,0.1384215694917324
2019-07-30 00:00:00,1715.478911254856,,0.13674802573424336
2019-07-31 00:00:00,1715.478911254856,,0.13424904896651574
2019-08-01 00:00:00,1715.478911254856,,0.138899697296108
2019-08-02 00:00:00,1715.478911254856,,0.14202385995847458
2019-08-05 00:00:00,1715.478911254856,,0.11986293850729393
2019-08-06 00:00:00,1715.478911254856,,0.12138306624357206
2019-08-07 00:00:00,1715.478911254856,,0.11961488813460686
2019-08-08 00:00:00,1715.478911254856,,0.14327934310691137
2019-08-09 00:00:00,1715.478911254856,,0.14375874193476387
2019-08-13 00:00:00,1715.478911254856,,0.1453901825908837
2019-08-14 00:00:00,1715.478911254856,,0.12385283645817331
2019-08-16 00:00:00,1715.478911254856,,0.12688346661369398
2019-08-19 00:00:00,1715.478911254856,,0.12600331121033767
2019-08-20 00:00:00,1715.478911254856,,0.12311747240031035
2019-08-21 00:00:00,1715.478911254856,,0.12148953078767381
2019-08-22 00:00:00,1715.478911254856,,0.12254578489887816
2019-08-23 00:00:00,1715.478911254856,,0.12674006156397355
2019-08-26 00:00:00,1715.478911254856,,0.13169991183749727
2019-08-27 00:00:00,1715.478911254856,,0.13769176028855235
2019-08-28 00:00:00,1715.478911254856,,0.1330125399684493
2019-08-29 00:00:00,1715.478911254856,,0.13473863685162007
2019-08-30 00:00:00,1715.478911254856,,0.13590068470243852
2019-09-03 00:00:00,1715.478911254856,,0.14057850125873053
2019-09-04 00:00:00,1715.478911254856,,0.13262963498604752
2019-09-05 00:00:00,1715.478911254856,,0.13184793008004575
2019-09-06 00:00:00,1715.478911254856,,0.1315366036128239
2019-09-09 00:00:00,1715.478911254856,,0.12976270240786092
2019-09-11 00:00:00,1715.478911254856,,0.13114385253011218
2019-09-12 00:00:00,1715.478911254856,,0.10794436095523462
2019-09-13 00:00:00,1715.478911254856,,0.10886952278806275
2019-09-16 00:00:00,1715.478911254856,,0.10751963224622643
2019-09-17 00:00:00,1715.478911254856,,0.10919142846496066
2019-09-18 00:00:00,1715.478911254856,,0.10558122451956219
2019-09-19 00:00:00,1715.478911254856,,0.11266442741305242
2019-09-20 00:00:00,1715.478911254856,,0.12761706034800915
2019-09-23 00:00:00,1715.478911254856,,0.13505226495066885
2019-09-24 00:00:00,1715.478911254856,,0.15098929284217105
2019-09-25 00:00:00,1715.478911254856,,0.14786684045458207
2019-09-26 00:00:00,1715.478911254856,,0.1403656766320168
2019-09-27 00:00:00,1715.478911254856,,0.13636487768016717
2019-09-30 00:00:00,1715.478911254856,,0.14580102969936526
2019-10-01 00:00:00,1715.478911254856,,0.14961757139510323
2019-10-03 00:00:00,1715.478911254856,,0.14819853526073937
2019-10-04 00:00:00,1715.478911254856,,0.14497225381922998
2019-10-07 00:00:00,1715.478911254856,,0.14602879537945918
2019-10-09 00:00:00,1715.478911254856,,0.14623469823158758
2019-10-10 00:00:00,1715.478911254856,,0.1458458396154955
2019-10-11 00:00:00,1715.478911254856,,0.14599747723508621
2019-10-14 00:00:00,1715.478911254856,,0.1447327782909567
2019-10-15 00:00:00,1715.478911254856,,0.14315820486338093
2019-10-16 00:00:00,1715.478911254856,,0.14208064050169442
2019-10-17 00:00:00,1715.478911254856,,0.14409868303920956
2019-10-18 00:00:00,1715.478911254856,,0.14214514450407797
2019-10-22 00:00:00,1715.478911254856,,0.20486792346109334
2019-10-23 00:00:00,1715.478911254856,,0.20229013015364494
2019-10-24 00:00:00,1715.478911254856,,0.1914427044596138
2019-10-25 00:00:00,1715.478911254856,,0.18716413923104064
2019-10-27 00:00:00,1715.478911254856,,0.1751470886663939
2019-10-29 00:00:00,1715.478911254856,,0.18693536614848133
2019-10-30 00:00:00,1715.478911254856,,0.19433326279657046
2019-10-31 00:00:00,1715.478911254856,,0.19434890268169167
2019-11-01 00:00:00,1715.478911254856,,0.19203451380996495
2019-11-04 00:00:00,1715.478911254856,,0.1885140576762912
2019-11-05 00:00:00,1715.478911254856,,0.18761881172906858
2019-11-06 00:00:00,1715.478911254856,,0.18780938002816383
2019-11-07 00:00:00,1715.478911254856,,0.1856668230340603
2019-11-08 00:00:00,1715.478911254856,,0.19660476435741994
2019-11-11 00:00:00,1715.478911254856,,0.19811897660179745
2019-11-13 00:00:00,1715.478911254856,,0.20227118490895102
2019-11-14 00:00:00,1715.478911254856,,0.20398166140241566
2019-11-15 00:00:00,1715.478911254856,,0.20461513394783554
2019-11-18 00:00:00,1715.478911254856,,0.20697600596065377
2019-11-19 00:00:00,1715.478911254856,,0.2057177109001246
2019-11-20 00:00:00,1715.478911254856,,0.20442630643580048
2019-11-21 00:00:00,1715.478911254856,,0.1358874648094608
2019-11-22 00:00:00,1715.478911254856,,0.15176188591194137
2019-11-25 00:00:00,1715.478911254856,,0.15248716042322089
2019-11-26 00:00:00,1715.478911254856,,0.15561908045273337
2019-11-27 00:00:00,1715.478911254856,,0.15570574834591824
2019-11-28 00:00:00,1715.478911254856,,0.14255552101290928
2019-11-29 00:00:00,1715.478911254856,,0.1342836267825302
2019-12-02 00:00:00,1715.478911254856,,0.13251853803200864
2019-12-03 00:00:00,1715.478911254856,,0.12984329787612345
2019-12-04 00:00:00,1715.478911254856,,0.1295565052002881
2019-12-05 00:00:00,1715.478911254856,,0.13225145225846238
2019-12-06 00:00:00,1715.478911254856,,0.13132894317094537
2019-12-09 00:00:00,1715.478911254856,,0.13313408096410584
2019-12-10 00:00:00,1715.478911254856,,0.12471209067384213
2019-12-11 00:00:00,1715.478911254856,,0.125013883364047
2019-12-12 00:00:00,1715.478911254856,,0.11820006542120898
2019-12-13 00:00:00,1715.478911254856,,0.12381355623513128
2019-12-16 00:00:00,1715.478911254856,,0.12669156639483195
2019-12-17 00:00:00,1715.478911254856,,0.13186678465024698
2019-12-18 00:00:00,1715.478911254856,,0.13308280953455107
2019-12-19 00:00:00,1715.478911254856,,0.13877793060021526
2019-12-20 00:00:00,1715.478911254856,,0.1389952181765171
2019-12-23 00:00:00,1715.478911254856,,0.12129342425176504
2019-12-24 00:00:00,1715.478911254856,,0.12617384704682585
2019-12-26 00:00:00,1715.478911254856,,0.12849976637114383
2019-12-27 00:00:00,1715.478911254856,,0.1288740939428821
2019-12-30 00:00:00,1715.478911254856,,0.1290003447007678
2019-12-31 00:00:00,1715.478911254856,,0.13053656037503805
2020-01-01 00:00:00,1715.478911254856,,0.12884582299939293
2020-01-02 00:00:00,1715.478911254856,,0.1283434271332156
2020-01-03 00:00:00,1715.478911254856,,0.12983930683167907
2020-01-06 00:00:00,1715.478911254856,,0.13462975189050114
2020-01-07 00:00:00,1715.478911254856,,0.13496567049091762
2020-01-08 00:00:00,1715.478911254856,,0.1301727894547087
2020-01-09 00:00:00,1715.478911254856,,0.12381054106092775
2020-01-10 00:00:00,1715.478911254856,,0.12281896320906735
2020-01-13 00:00:00,1715.478911254856,,0.11976110793614317
2020-01-14 00:00:00,1715.478911254856,,0.11243743113756773
2020-01-15 00:00:00,1715.478911254856,,0.11072971047963444
2020-01-16 00:00:00,1715.478911254856,,0.10215752855082402
2020-01-17 00:00:00,1715.478911254856,,0.10037333726562254
2020-01-20 00:00:00,1715.478911254856,,0.10914884340502763
2020-01-21 00:00:00,1715.478911254856,,0.10957226736612428
2020-01-22 00:00:00,1715.478911254856,,0.11341681911192159
2020-01-23 00:00:00,1715.478911254856,,0.10978668387046585
2020-01-24 00:00:00,1715.478911254856,,0.10338872308317582
2020-01-27 00:00:00,1715.478911254856,,0.10890024561892571
2020-01-28 00:00:00,1715.478911254856,,0.10861789477535964
2020-01-29 00:00:00,1715.478911254856,,0.10342211116162463
2020-01-30 00:00:00,1715.478911254856,,0.11068789693395853
2020-01-31 00:00:00,1715.478911254856,,0.12234432865056567
2020-02-03 00:00:00,1715.478911254856,,0.11947749096786521
2020-02-04 00:00:00,1715.478911254856,,0.13457320639816026
2020-02-05 00:00:00,1715.478911254856,,0.13991513359157828
2020-02-06 00:00:00,1715.478911254856,,0.1412280229335822
2020-02-07 00:00:00,1715.478911254856,,0.14084012005344557
2020-02-10 00:00:00,1715.478911254856,,0.13992190905504315
2020-02-11 00:00:00,1715.478911254856,,0.13699539944618408
2020-02-12 00:00:00,1715.478911254856,,0.1408298840253872
2020-02-13 00:00:00,1715.478911254856,,0.1428712336858839
2020-02-14 00:00:00,1715.478911254856,,0.14283675904076773
2020-02-17 00:00:00,1715.478911254856,,0.143342165110467
2020-02-18 00:00:00,1715.478911254856,,0.13015958224172533
2020-02-19 00:00:00,1715.478911254856,,0.13027541659940692
2020-02-20 00:00:00,1715.478911254856,,0.13390320527033486
2020-02-24 00:00:00,1715.478911254856,,0.1410489539822404
2020-02-25 00:00:00,1715.478911254856,,0.14160101805460804
2020-02-26 00:00:00,1715.478911254856,,0.14404243463195984
2020-02-27 00:00:00,1715.478911254856,,0.14470483754082006
2020-02-28 00:00:00,1715.478911254856,,0.20844120481134296
2020-03-02 00:00:00,1715.478911254856,,0.20711803764028022
2020-03-03 00:00:00,1715.478911254856,,0.20799886954586247
2020-03-04 00:00:00,1715.478911254856,,0.20819559338858282
2020-03-05 00:00:00,1715.478911254856,,0.19607352609003645
2020-03-06 00:00:00,1715.478911254856,,0.19540724528111764
2020-03-09 00:00:00,1715.478911254856,,0.29271253276436304
2020-03-11 00:00:00,1715.478911254856,,0.2920141313942711
2020-03-12 00:00:00,1715.478911254856,,0.408952531701656
2020-03-13 00:00:00,1715.478911254856,,0.42933721064526226
2020-03-16 00:00:00,1715.478911254856,,0.48171770921608664
2020-03-17 00:00:00,1715.478911254856,,0.4787647722042607
2020-03-18 00:00:00,1715.478911254856,,0.4852013795842287
2020-03-19 00:00:00,1715.478911254856,,0.4834742756874307
2020-03-20 00:00:00,1715.478911254856,,0.5597666091886497
2020-03-23 00:00:00,1715.478911254856,,0.640890215296652
2020-03-24 00:00:00,1715.478911254856,,0.6769651890954268
2020-03-25 00:00:00,1715.478911254856,,0.7320557742859766
2020-03-26 00:00:00,1715.478911254856,,0.7456672832403299
2020-03-27 00:00:00,1715.478911254856,,0.7494720350444867
2020-03-30 00:00:00,1715.478911254856,,0.7580918881461416
2020-03-31 00:00:00,1715.478911254856,,0.7654437725175239
2020-04-01 00:00:00,1715.478911254856,,0.7802940539714655
2020-04-03 00:00:00,1715.478911254856,,0.7771310410247925
2020-04-07 00:00:00,1715.478911254856,,0.8487915832646065
2020-04-08 00:00:00,1715.478911254856,,0.8490247839411463
2020-04-09 00:00:00,1715.478911254856,,0.8580876222986571
2020-04-13 00:00:00,1715.478911254856,,0.8316974203866133
2020-04-15 00:00:00,1715.478911254856,,0.8329744528589234
2020-04-16 00:00:00,1715.478911254856,,0.7747741180409038
2020-04-17 00:00:00,1715.478911254856,,0.7790885356996625
2020-04-20 00:00:00,1715.478911254856,,0.733302672832834
2020-04-21 00:00:00,1715.478911254856,,0.7353926924885205
2020-04-22 00:00:00,1715.478911254856,,0.7226185334846317
2020-04-23 00:00:00,1715.478911254856,,0.7323781673162103
2020-04-24 00:00:00,1715.478911254856,,0.7065878807705019
2020-04-27 00:00:00,1715.478911254856,,0.5797749212055922
2020-04-28 00:00:00,1715.478911254856,,0.5665873546755452
2020-04-29 00:00:00,1715.478911254856,,0.5329114943814688
2020-04-30 00:00:00,1715.478911254856,,0.5424103478866537
2020-05-04 00:00:00,1715.478911254856,,0.5787108498826147
2020-05-05 00:00:00,1715.478911254856,,0.5529833904351124
2020-05-06 00:00:00,1715.478911254856,,0.5419937578869021
2020-05-07 00:00:00,1715.478911254856,,0.5012710099256652
2020-05-08 00:00:00,1715.478911254856,,0.4890466530038473
2020-05-11 00:00:00,1715.478911254856,,0.3961988175354158
