Return,Risk,Sharpe
0.18360363407266103,0.1975783334875228,0.6762058962355717
0.18942814345149048,0.20900106814213232,0.6671168941427208
0.20593208780421215,0.21114798551547684,0.7384966871624856
0.15752149812509267,0.21700292012688044,0.4954841071365557
0.19938173685993946,0.20336527136414603,0.7345489023662077
0.18517206001046582,0.1981436857506089,0.6821921147696751
0.18548940469274056,0.19640947937368272,0.689831290856194
0.18901166692208293,0.2125267493276355,0.6540902138759944
0.18971215043354434,0.21089524013846542,0.6624718051569818
0.1760197593476602,0.1979766936613411,0.6365383572029422
0.20534979775710416,0.20850712648499756,0.7450574969593754
0.17330690876599708,0.19456832057728776,0.633746071303608
0.16126971304059773,0.19674829776242145,0.5655434598725664
0.18282859076285018,0.20613322476004464,0.6443822480217498
0.18918287149965973,0.19884307966029394,0.6999633667786757
0.1490878140729042,0.21703582207352365,0.45655050454913815
0.196125150552429,0.2014420978870808,0.725395297632077
0.19067005188895136,0.20131584896483481,0.6987529924358968
0.19386779030713525,0.206389259919895,0.6970701400013453
0.1917476059724353,0.20770866026638743,0.6824347419633021
0.19929869212987628,0.20513509313232473,0.7278066850978514
0.19948562282968327,0.2041757080174176,0.732142056864723
0.18019302032149767,0.20702057300563811,0.6288892858873109
0.17609426241688575,0.19423866082544686,0.6491718068948217
0.1759142877848446,0.19462925073742576,0.6469443175050573
0.19211810333032314,0.19994422729001624,0.7107887297200278
0.19283090561670313,0.19888032509337872,0.7181751415060331
0.17657359366874037,0.19898650127164683,0.6360913572521595
0.17822635888994667,0.20493291797086546,0.6256991807835192
0.19977293558016845,0.21164503299388251,0.7076609994645968
0.22385306423195694,0.23571125873310003,0.7375679259717238
0.18394441642077236,0.1987114659988033,0.6740648595566148
0.18281436565799447,0.20322504677480652,0.6535334485870039
0.17380199032458338,0.1943292708716764,0.6370733022836015
0.1658528374032992,0.21158214269254225,0.5475548925300808
0.1964375246682188,0.20716843077891664,0.7068525070042748
0.18916842071389348,0.1968660485732523,0.7069193582260072
0.19130297755188422,0.20403614116273375,0.6925389626888931
0.20135476318454146,0.20499506208487167,0.7383337025058576
0.14780674080733253,0.21192502805691874,0.46151576198476957
0.18078620836925458,0.20072549319250674,0.651567502907184
0.19045560854717405,0.2041356632576123,0.6880503205847174
0.19350468296600226,0.20445176543596413,0.7018999452511406
0.18497403089648143,0.19662949855756512,0.6864383619275035
0.17829861797970237,0.1954237657969125,0.656514920058558
0.17389809350263533,0.24287584433907963,0.5101293372331456
0.169926778765222,0.19555642669468692,0.6132592049887373
0.18496253485126554,0.19573066722263222,0.6895318795278693
0.22229719981231932,0.2284152102450786,0.7543157902113992
0.182313673752866,0.20498686512632627,0.6454739120544416
0.20364784423061608,0.2188310061590009,0.7021301365263419
0.19544590373635456,0.21098232546150525,0.6893748252049288
0.20484258139964495,0.21276253794909122,0.7277718290646398
0.18690075248306315,0.1971698624255935,0.6943289953084273
0.20775461952764196,0.2133154231353054,0.7395368661532674
0.176734089415021,0.19566367934909015,0.6477139233843725
0.17003754236546553,0.1942074009145662,0.6180894332563117
0.16183584385436672,0.2037344233624794,0.5489295427282362
0.19534244484276858,0.20465881858810422,0.7101694705630271
0.16375353718031926,0.19571290187214854,0.5812265624400681
0.16901704389751754,0.21853634290998641,0.5446098452674292
0.19580827884355495,0.20047856380718207,0.7273010943144608
0.19724654491782292,0.20786595047339235,0.7083726054338613
0.19203452113618846,0.20867277593153616,0.6806566908506975
0.20310851206332967,0.20832492621134444,0.7349505162334821
0.19315905647046802,0.20693182685247047,0.6918174871791545
0.18000563997487698,0.20116736808347924,0.6462561061142282
0.18275742025182248,0.1949772057479203,0.6808868746609295
0.19919133063420577,0.2091774267426328,0.7132286354099164
0.15782099118904203,0.21431263376556697,0.503101423815199
0.20017453685938552,0.21201589063236478,0.7083173643799555
0.18768659927296805,0.2041292360954724,0.6745070030466936
0.18908132281216578,0.20477099709058932,0.6792042075696743
0.2039889991738747,0.21217509908786172,0.7257637669824198
0.17759143237820843,0.19826381163111678,0.6435437275643671
0.1799099803210999,0.20277110964362696,0.6406730256071415
0.19815879494723998,0.20432944927763855,0.7250976081569375
0.19974016943788966,0.20336977885588126,0.7362950890751746
0.19764839391660988,0.2016842405485739,0.732077000736456
0.20045177714525625,0.21019104996404336,0.7157858394588804
0.18059646201472004,0.20155700310775476,0.647938101882283
0.2002150242781576,0.21611674331415906,0.6950642600596514
0.17946355559724259,0.20015363034448355,0.646820921381358
0.18900099582775748,0.19873797837336477,0.6994183847770621
0.1850318054105897,0.20744166462631775,0.6509386899388506
0.2062947223633571,0.21955522369838157,0.7118697507196192
0.20553352461174557,0.2112828396850088,0.736138935105297
0.18949188720039098,0.22102978887865987,0.6310999431708669
0.1757141365581017,0.205237541667184,0.6125299276969585
0.2076272126208737,0.22276740183687216,0.7075865289136907
0.19413455667011575,0.20145387635210618,0.7154717460893815
0.21445688804579066,0.21713577022935837,0.7573919666578955
0.20976618976920178,0.21387011136276632,0.7470243913522188
0.20178704358485225,0.20790538994999322,0.7300774819804385
0.1690872221009188,0.19570613816213298,0.6085001892084798
0.17474439770605343,0.21725334612696556,0.5741886140301437
0.21190655186140583,0.22366956548203884,0.7238649188255668
0.1959281435458067,0.20383108776820535,0.7159268252139963
0.17856740736753837,0.20049250247853465,0.6412579312351253
0.1900086500488435,0.2776509581405223,0.5042613610502418
0.18070481914670683,0.20055115368571783,0.6517280840554692
0.17607344471794698,0.19773603753107982,0.6375845611760625
0.1945870666783705,0.19967408425715233,0.7241153363305904
0.15467389266158357,0.2021212610010997,0.5178767050192412
0.19124117424653414,0.1990872522688417,0.7094435863518079
0.1874049367777828,0.19773218091757663,0.6949042697053909
0.18968255005482498,0.2218049494424077,0.6297539816220106
0.19236094963080055,0.20402292779348657,0.6977693692098139
0.1865116031797484,0.2152605099859124,0.634169282552951
0.18138419876323708,0.2060396889691573,0.6376645170674101
0.1876122167386301,0.199431249248961,0.6900233401578968
0.1943516002459175,0.1996845639386017,0.7228981419430206
0.1742956026181696,0.20122932397096785,0.6176813605759676
0.18369889943020482,0.19538070575081107,0.6842993985328553
0.1991804042775257,0.2044403360519803,0.7297014236935886
0.1745066269176672,0.19423789793701676,0.641000691626304
0.1793915585229366,0.19952348059222147,0.6485029137366652
0.19244756504701876,0.20738617623965283,0.6868710713023041
0.19278678603496172,0.21040315085062786,0.6786342574134299
0.1972691187931623,0.20291445613274794,0.7257694774433315
0.18631941436830204,0.20255709487941273,0.67299254291466
0.1846900684303361,0.2095909615474794,0.6426330001822348
0.16130446656265818,0.19965572138791549,0.5574819784222576
0.18398083055679348,0.21737441117274375,0.6163597170152709
0.18479894569257077,0.1986018717648596,0.6787395531305459
0.19474823419908635,0.20073853754811594,0.7210784534304528
0.19803825294095223,0.21079879357600503,0.7022727712508278
0.1980965226008478,0.2057305600156266,0.7198567028136166
0.19905616785779134,0.21258641562495093,0.7011556567224838
0.18379317116801602,0.20279753966438113,0.659737644694489
0.20016883066562446,0.20882858982712801,0.7191009180780126
0.17025966734655737,0.1987341139291745,0.6051284551449274
0.19781077345263773,0.20999196615239088,0.703887754188518
0.18919554483690207,0.20209645998087186,0.6887579567206507
0.19069703990557596,0.19997012851370596,0.7035902859657991
0.18519195063935445,0.19991045295112667,0.6762625397702724
0.16966467811081865,0.19797607238518772,0.6044401056608283
0.19169134808177934,0.1994236391159039,0.7105042747686955
0.1792343634680152,0.1981235588599879,0.6522917527407427
0.2056673074078425,0.2246006558906787,0.6930848300087398
0.1849962453967109,0.21858657298239678,0.6175870894301565
0.18321761706567807,0.20733712068236582,0.6425169628441182
0.17422379401545832,0.2030041664150984,0.6119273126712496
0.17335120836399215,0.21254654744432722,0.580349151031502
0.18967167353978626,0.2073488565847217,0.673607155787315
0.1723222891052144,0.2044758048038399,0.5982237811586659
0.17779525177555372,0.19895742908058237,0.6423246036406798
0.18003914241056926,0.20755577685563847,0.6265262493802595
0.18454531095378487,0.19523483513453124,0.6891460269427492
0.20053157979283853,0.20382513709948252,0.7385329500323967
0.18671834831490738,0.21574562588413543,0.6337015999959644
0.18907486136717241,0.21401763429692358,0.6498289817287806
0.17519770636754936,0.1943331248539885,0.6442427479186382
0.20370036574988087,0.2064125775027503,0.74462693896564
0.17660768263012017,0.21175306424263873,0.5979024817560414
0.17077243766646236,0.21305310503471706,0.5668654190549463
0.20030772202014316,0.20568089485884647,0.7307811555530983
0.19273631486266693,0.20913528469848014,0.6825070913712927
0.18222764691308602,0.2133065370270222,0.6198949584762847
0.18210551393566926,0.24157462661853144,0.5468517773775804
0.1982143954305846,0.20330142279212723,0.7290376692647729
0.1891715878870887,0.19953976690258565,0.6974629170286223
0.1831431402811968,0.1989661479946608,0.6691748401580837
0.16514739367243378,0.19556410283026135,0.5887961645618329
0.1693104298931143,0.19923946393838096,0.5988293058749323
0.2111342032158402,0.22208646326765472,0.7255471623303942
0.20181943873561264,0.20872299044181714,0.7273728611028755
0.18882326228170554,0.20499195532725367,0.6772132206850997
0.191269063239753,0.19965540611335011,0.7075644280804022
0.172041389484563,0.2048032794838327,0.5958956799527081
0.19159222113231156,0.2115193473975421,0.6694055313351297
0.20569389950004724,0.20836123853872637,0.7472306298040636
0.1994735189135049,0.2042211393064215,0.7319199149566438
0.16561949201431525,0.19902706365067066,0.5809234678618826
0.16167858426847911,0.20244117443154783,0.551659436782419
0.19131754623301062,0.20582189126390973,0.6866011451221673
0.19759937773033218,0.21503450777198685,0.6863985657913104
0.17358819645753001,0.19647137492986597,0.6290391997391328
0.18066683474713552,0.1995672779906781,0.6547507991427284
0.19349295786184428,0.20285659847981335,0.7073615496718662
0.18695456041144254,0.20565711489414143,0.6659364081905828
0.160822114612109,0.19683400628221415,0.5630232128345539
0.16594653106170862,0.20638922754417716,0.5617857697388325
0.18900014151432837,0.20825195424644743,0.6674614027863298
0.18660793782003984,0.1961521267814286,0.6964387287641363
0.2002302445856768,0.20509393821406907,0.7324948064962911
0.18030055220297386,0.2058011088979459,0.6331382415805554
0.18199657300555797,0.19884150343319285,0.6638280777730411
0.18504250387615995,0.19975513716213023,0.6760402049963471
0.18918188712288098,0.2001243314505663,0.6954770872389447
0.19584041723977308,0.20546204246497307,0.7098168376508561
